"","hegyiCI","MECI","RKCI1","RKCI2","BCI","OPCI1","BLCI1","MonEK1"
"1",5.55970788147671,2.69726559575758,12.0295637276196,15.9950886396528,4.90059201851931,477.783823880387,750.095708457338,903.433273349512
"2",5.53160268878123,1.48265650217512,17.334869146566,20.3026811474903,5.43179523036074,187.873570621535,221.854408312016,242.467638498556
"3",4.67056527710037,1.5823176514684,17.1882645063657,14.548723360549,4.999385067943,412.626692473886,341.188047039737,309.390240732465
"4",4.56862942784613,1.38891319260063,17.4023815296317,16.4708193615199,5.07960876373475,223.942586824248,204.483676550864,205.9913410843
"5",5.2362873948869,1.36407263176591,11.5065449519446,17.189265288382,4.59789010556431,195.398123067567,311.236837073889,499.469723378429
"6",5.20163565513859,1.34305747169067,13.671613579036,17.4457411783937,5.42163071988286,239.994221790736,297.360436024187,392.161324282591
"7",2.93453269854623,0.936575936815799,12.2105834460178,9.89655915770168,3.19660729366178,179.042585668382,137.952498876544,111.723994136395
"8",2.75429210745349,0.783930180386042,9.80397539737372,9.6460309935712,2.87036704240193,133.289433185096,141.396437637911,148.67729014056
"9",4.6016499594666,0.997264959394806,17.0081381056911,18.0693563637606,4.35770095355145,67.0542012873834,72.1604317242105,69.650312968503
"10",5.20693873737162,1.45099562893673,15.0604941235959,24.5034372042128,4.05614515918483,51.5646651155145,57.4391206350035,62.4029952577816
"11",4.85682401696774,1.5579043454079,13.9838275269149,17.9258246506209,4.23601937957758,208.440642515882,272.908746057993,315.592682816533
"12",3.11194831098701,1.51080230540497,11.7579083954477,10.2312308055899,3.49930883010784,291.174992159301,260.043855352043,254.014254364449
"13",4.46002768822278,1.82462601603605,12.9723722986328,11.9803641416696,4.10564178365819,355.802467719877,320.602380902452,264.923383911132
"14",5.63170647583392,1.97961458715619,12.8305635186212,15.0793248824191,5.41505824299659,295.728364297034,368.505309502978,445.396281578534
"15",2.81756767861636,1.29009711195344,15.7041410958528,10.9279381612912,3.6629561072809,243.375608539451,157.488790201857,143.134451143604
"16",3.86839979246579,1.57677669349839,12.4843930053917,13.4823729236907,3.16408876106161,183.693781858207,255.243755851944,256.71377693872
"17",6.00578736878009,1.96655727585991,20.7860557008706,20.9041435085007,6.46844687238288,248.024396259948,246.485214284595,277.165594395066
"18",5.52667590565765,2.08262239399101,16.729801897656,16.9433716673816,5.34752329822939,394.211544512227,379.562684186988,357.926841748724
"19",8.55410196347408,2.57217756257254,16.6652190011316,26.1667717344311,6.24888953654016,403.47019322013,674.396515155573,785.944368695285
"20",4.37847978231786,1.48706734239982,17.5595206579291,16.1646746252306,4.91368084032747,208.070936172408,184.924732243642,189.516714123603
"21",10.1362990945263,2.30230390154615,17.4306793409923,30.6523259548249,7.79268641476043,279.945968834045,535.000638627345,776.758401144577
"22",4.29103436407962,1.41631549165448,18.3803436519675,14.9042350419653,4.64246944270508,269.829546582255,188.490603314505,152.821783972211
"23",4.65436976317607,1.12629745270107,20.3087556287563,19.3559719965844,4.33774768699911,100.419780375056,104.147192220054,98.7675891971702
"24",4.52511547014988,1.19084625616846,18.1332533071002,17.3072796746107,5.02673745009585,213.649388888689,190.398500386991,204.594210933052
"25",5.40259652279158,1.12126755753067,20.4232985742108,21.746080564626,5.2978306500426,78.7822842746647,73.1098900911702,74.7278691671224
"26",9.27449238588478,1.6869784521829,18.7485549984365,35.3645943816227,7.15041234264143,148.897274011396,275.067943577586,402.925199546217
"27",4.09378957851696,1.82921420433468,18.2670220569726,13.8034355077006,4.82624499508497,398.426977054741,321.256091600543,313.839156940454
"28",6.19608124871429,2.41664581035187,14.0667481610112,18.7182401767536,5.14154692442975,319.926206639407,557.688554212517,749.742889898079
"29",4.41820841950257,1.53251406730106,16.5529881573462,15.5133369072545,4.42830484537014,251.3054776535,196.085846352222,168.870313607491
"30",7.18320692028284,2.11272551419492,15.43077510254,21.73834331321,6.08971532121228,338.447540822552,473.117814898625,568.177082616216
"31",3.10294450235966,1.83692261799376,17.669873247181,10.9440681671336,4.02811891263354,424.061400282378,244.765731027157,193.368624808702
"32",3.38634547907603,1.92533811347126,16.9459134385114,13.7327897967848,3.58374996165931,221.171972207354,199.414469383956,187.198379042034
"33",8.33457384001827,2.92337831408708,18.5708735685264,22.7616919900276,6.55007285408265,396.34829614692,556.737451558184,614.731775082467
"34",4.00816059981463,1.85457344494974,17.3952020873177,12.1018995135677,5.16773532512415,314.705577351744,222.914616080812,213.887260093062
"35",8.44078576599273,2.73580894447086,18.3128786167408,28.7569442955735,7.87293408690119,322.491099917516,644.227212308984,1139.19424577405
"36",6.90504441785577,2.86771831655547,16.1926300445175,18.9798468178746,5.64564961675305,503.515402532182,696.23383107346,797.283774217366
"37",8.81599973987337,1.11305572065336,19.2484937287646,35.3900603649216,7.81663418798362,73.8261986078068,92.2827482597585,104.475954308113
"38",4.83538550589532,0.94635697870322,17.6194214466473,18.5234118251696,5.17430699515601,96.6151870976634,116.417399739406,143.492996110562
"39",3.84502967971856,1.26318947019646,17.3761083828237,14.5824614502324,4.60305327431769,202.803342686137,148.390679221351,138.787611720101
"40",7.59083897670474,2.10105814952458,18.8982566417396,21.3755886864965,6.7760177903092,435.208290333424,507.554850120565,539.603839802067
"41",5.34981968849938,1.68697184986544,16.6072497874974,14.7096860952532,5.57554764052476,437.716173916719,379.87814645578,354.311208347415
"42",6.40445839782466,1.39918000209793,20.8149918144752,25.5674282391218,6.02247006807077,124.081503550602,147.05535343143,184.721073204615
"43",5.36433616431751,1.49439753749845,16.9010634692354,18.2507227120061,3.97447346608192,252.966905642015,257.495948524057,214.324953132718
"44",7.49480070747197,1.67098962222886,20.9932417519773,27.7872520701312,6.42782009287413,233.390613459483,314.655137580974,388.313930707323
"45",2.97386328388507,1.18049510473352,20.08311244665,12.2119024209099,3.94380481724816,125.924423680041,79.5088646067175,62.9819479000612
"46",13.755532183123,2.28658102930928,19.5235687652298,47.4422828636854,12.7053854869138,300.429305720932,558.754502396906,1100.39795594074
"47",11.5603833020971,2.08446431137751,21.3846208535198,34.4487462827524,9.0881928854323,278.333599622167,251.437690278064,202.553703749932
"48",10.3103238935393,1.96116049110384,19.1705389634061,29.942297695587,9.70432229384476,266.244943533282,228.626225147007,224.657100145937
"49",5.20062262617531,1.60235643050839,18.2813389804214,19.1523388001926,4.99168552038907,139.618105833077,188.819640332954,215.968570595262
"50",8.96512912602997,2.26942693630324,13.4055785322839,30.3533920014189,9.55561303463192,209.01144688633,672.702535616413,1888.99938700065
"51",2.11980701592743,0.951947809969159,12.9630790374111,8.43093883634329,2.7810642625845,176.059803588325,104.374086696646,93.6081673222317
"52",5.31232830932845,1.69019320559743,22.7279059344077,19.758461353748,5.1385620718316,170.401639542904,265.467381880063,315.196927884051
"53",3.47469013690341,1.50151090984383,21.0774745901482,11.1778185081563,4.31554931194044,308.734072540895,178.102613937146,125.934933507132
"54",9.64264616116003,2.52211952811154,21.635150036109,29.1735069423325,8.59443934124591,312.221308010265,518.858759063001,802.521345622101
"55",10.16638555991,2.24488833675578,22.7169628554141,33.9760226009182,10.6700506455647,412.277292457355,453.955784282637,616.909751912776
"56",9.47823512435288,1.93893984562565,21.9243344297826,33.2466332002977,7.25353743079192,272.379040645311,263.223952432,213.251188515757
"57",12.081490767221,2.26508129541199,22.9607641216918,40.9783585884155,14.2928269112825,404.696839843175,598.280899506139,1181.42789717577
"58",10.068642851932,1.54541089898302,22.0452439483987,38.6146153697361,7.43359373122421,214.841016642747,229.192646252893,187.47309752303
"59",9.33286365293527,2.95802626763558,19.4812651936592,26.8159419646132,7.69722274268356,497.705535390393,762.812032816347,973.594691439594
"60",12.6076902357513,3.77470730778139,19.5547332748158,32.3584853459181,10.682577608444,498.771326678051,1045.86217868487,1768.76810311449
"61",3.19732230680046,1.70524031461569,19.2972632833329,9.46250393972166,4.99128338612686,430.018163228686,216.991633078015,185.324078019239
"62",5.52196004385498,2.23195254598401,19.0531424640265,15.6016159000569,4.89474107504606,387.795411568836,386.089449799531,341.796498498781
"63",7.51649899145085,1.75673410826221,18.9199468924599,28.9728095677648,6.6559637003934,133.233862928651,228.023951898579,357.37723432316
"64",2.11861571955286,1.01820292416182,16.5239236604088,8.01355180480346,2.9699165973706,193.123392011393,78.3067005979088,47.9822896597666
"65",6.32390747861855,1.48929860968738,18.9239315815803,23.7861602726902,5.24118221990166,134.271741809198,223.852642815634,293.738133531312
"66",8.0790288053391,1.93631833164656,18.0590681055866,25.201496672469,8.3633325270053,398.820457611237,548.361359261832,832.289837624549
"67",9.49528967199222,2.27129335579314,19.5059569200495,28.7398544990743,8.37804638434075,395.973045796095,527.48724278994,663.818028712111
"68",6.6654287100374,1.9329968516629,17.5070110790928,20.3810756813399,6.44976953063522,388.427891851579,394.475982731649,427.931328832614
"69",10.2829674564265,2.09956685335158,19.9989430765383,38.408195505148,7.38479511430896,193.475360716044,302.223587828783,376.281840184345
"70",6.89836684963654,2.28603489945751,20.1173421296339,26.4593751652455,5.69013354339047,299.806165576899,386.239134570739,433.045598908036
"71",4.55581990064051,2.30431291587924,24.7140398862051,17.3742068155781,5.43668990555363,355.947385188709,280.39752087428,250.726880761587
"72",6.93547901911191,2.53875629143042,19.5136649922711,24.319257692379,5.88211848743027,355.994824420109,488.282690743499,572.610009789988
"73",6.13773702302095,3.01981153886978,19.5052775551141,18.954598876028,5.84762127983858,553.877269415598,593.249497665112,565.503329735802
"74",10.6025298189817,3.94755694128417,19.7450514027037,32.8732428838368,7.49051006188117,501.502904286266,933.318280748012,1112.83629919778
"75",6.84014192518743,2.12675279899397,19.1008607103913,26.5261053668694,6.18707976504866,208.745996632039,255.942359420605,308.885715171843
"76",7.83793972046375,1.63874932625011,21.2628543322484,33.3496553980246,6.55090632118996,104.885415316017,134.503793719987,170.168364393591
"77",5.70416415209632,1.11896382294464,18.8378125635766,23.288356551782,4.72085980692551,102.539555382696,129.456188670653,123.364132733211
"78",4.48466937384282,1.23996715764152,17.8793948577767,16.4048210221938,5.17783825933866,242.252735431431,209.659270698145,216.2391027417
"79",6.68133062299367,1.92555301719923,14.1571013941678,18.5479834577181,5.82183037704563,330.125018142909,520.72897897056,682.052208892304
"80",3.98575683695624,1.16457744881387,18.6286388057467,14.770622842127,4.61169219684054,222.026786139853,164.15566334953,151.58573991794
"81",8.34865508492319,1.84810290437112,18.7325249049208,26.3569803398669,6.56881025591659,259.63994183775,495.811337574814,695.089366447118
"82",3.20239098042601,1.21834370146557,18.9357883904992,10.9561096395521,3.83643605814713,328.403242522868,180.261636218357,122.296665137803
"83",5.80124405677615,1.3392535403211,18.8816752093169,21.6406077001054,5.55034173672919,214.181924880746,285.36154006877,372.879520249546
"84",6.3827942769267,1.51838280000667,17.5569469332679,20.8814323253238,6.06509199269968,251.340582601737,286.000689622408,320.110933579787
"85",6.08942656180284,1.40435441988487,22.8701649270249,22.779044630136,5.84919175418514,231.635353434658,199.927941104161,170.078939663276
"86",6.54495948663383,1.71401500784477,21.1809702038691,23.7539634684463,6.42855672562929,283.810348017801,302.340914509785,334.476423755369
"87",5.98051406566596,1.87136371215628,24.403571587074,26.356265026253,5.28153864424315,106.613689943874,83.625107880785,74.185020853802
"88",9.188565263931,2.32665745830159,21.7397649159765,35.3940422466564,6.62848413656413,279.174221965419,447.925684659012,559.423719060614
"89",3.83466606514073,1.34261736411375,14.6121279354961,12.66518759254,4.2278484659294,267.554181093221,226.791894817407,225.682151079756
"90",4.61914609478596,1.95515298527607,15.4954275513029,15.8052484689546,4.23230168957706,385.152894675227,333.671341477299,282.76776355194
"91",6.25557901512343,1.85925453491795,14.7724424578577,20.603719825391,5.53610649917095,331.23420633663,499.816713014202,653.437910691234
"92",4.34430077429944,1.44677614270563,15.6409260551098,15.2943718158934,4.14906739744046,228.946708477729,238.25986366305,228.489657353563
"93",8.34695188238129,1.6267319227663,17.402834421318,32.6147974344191,6.9574639393627,95.6568101208593,160.374483334891,246.76737880955
"94",8.23713978508229,2.30107043369452,16.6444311999121,26.60055189467,6.43613137415589,339.045551780905,589.063613377849,806.629005007434
"95",5.25451290144881,1.79964727389579,17.5806899042473,16.4694573180402,5.10565844039,351.116268494288,363.975897719795,391.221940463147
"96",11.4833706082285,2.54893030691857,21.6448970990579,37.8710906088387,9.32155468018529,308.590714902689,769.275603579784,1404.64335679566
"97",7.95363420373387,1.91463855705817,20.4149273154672,27.356105648242,6.42241037908236,209.014417205058,425.856039155348,617.159644050784
"98",2.95237162843662,1.4439606037914,19.3939691657915,9.14867157610266,4.29941151761957,451.467450143843,199.726194246772,135.37694560399
"99",6.66148353489969,2.10625576962498,16.3263180624629,19.8445859294284,5.77067612882763,330.823768803982,523.194786954123,670.651609377876
"100",5.19488930346936,1.45081042039572,19.0255552883084,18.9439514755214,5.20471930396648,213.652566811808,206.966564744863,210.052384135694
"101",5.38707647526454,1.55658811113759,18.1559148854555,18.223345066095,5.22501030231431,254.197682707005,290.616218822863,323.119177605437
"102",7.42861665416058,1.60251902840351,20.4786266220564,25.7217378919845,6.29695776401649,229.901541119792,251.472143668452,249.322069791969
"103",8.44445126337743,1.90579632062476,19.4745997687613,27.1025815146146,8.13546767441428,317.789111559084,439.522940324755,611.263121009245
"104",4.26715694406508,1.3529219047002,15.2749681995961,13.8504954390384,4.68386252575082,234.934895464758,203.242819744963,195.401842821522
"105",5.93405849866866,1.20997620095867,20.5080408464455,23.432756009925,6.54842594780226,168.37070644203,172.315416005366,195.481166934407
"106",5.44660388545482,1.09204574230903,18.2115008189399,23.1257968461073,4.93463955330655,80.4193664936091,82.3808144568679,72.9956583795032
"107",4.28795359729631,1.66258471257391,16.4272109062301,17.0318070716288,4.08096154898824,179.087333748216,224.11853989161,248.106538970181
"108",3.17398981200053,1.62729963293629,15.3615950592629,12.3081542607,3.44962720204628,248.040665993072,213.081996963397,204.39631331654
"109",3.06276145076918,1.13538993837495,14.901484187563,12.8244958725337,3.16719749139346,137.632690360069,122.632702510489,114.392582017766
"110",3.33187020255209,1.39167101962735,10.3345733483579,11.974562619791,3.25353528300658,187.374444776119,226.833656551169,269.739125980895
"111",2.98273777531135,1.32897244354385,11.7011943594899,10.7600841988027,3.10209159872096,269.335294808513,207.858412946431,170.710439517589
"112",4.83779439577203,1.7855925611973,11.7561895630096,16.5465206292693,4.53203135637675,211.886662574982,304.765080311701,408.132748938036
"113",4.48625290240559,1.19470033969065,17.1005584258512,18.8280692469614,4.09968065136769,110.642523313504,108.522043530113,101.283953838535
